States,Registered_users,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Andaman & Nicobar,6740.0,6658,14.63,2018,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,9405.0,11340,28.34,2018,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,12149.0,16265,55.56,2018,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,15222.0,23758,90.55,2018,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,18596.0,30486,102.3,2019,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,21731.0,33689,120.25,2019,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,23931.0,33770,114.07,2019,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,25960.0,35159,136.84,2019,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,28368.0,41298,161.48,2020,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,32710.0,62962,169.65,2020,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,41335.0,117483,338.02,2020,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,52396.0,224531,627.28,2020,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,57758.0,244752,783.71,2021,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,62095.0,341414,899.15,2021,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,66982.0,449764,1310.02,2021,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,71780.0,636123,1932.61,2021,4th Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,76288.0,794748,2129.03,2022,1st Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,80530.0,1071217,2685.92,2022,2nd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,84642.0,1584379,3310.63,2022,3rd Quarter,35,11.66702557,92.73598262
Andaman & Nicobar,88442.0,1987535,3984.67,2022,4th Quarter,35,11.66702557,92.73598262
Andhra Pradesh,3336450.0,9039585,11996.28,2018,1st Quarter,28,15.9129,79.74
Andhra Pradesh,4402540.0,12353918,22883.91,2018,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,5427617.0,25626061,35718.04,2018,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,6857409.0,30759548,51473.78,2018,4th Quarter,28,15.9129,79.74
Andhra Pradesh,8283019.0,57264522,83760.6,2019,1st Quarter,28,15.9129,79.74
Andhra Pradesh,9389003.0,56409015,114000.0,2019,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,10458693.0,76288614,139000.0,2019,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,11757883.0,107218103,201000.0,2019,4th Quarter,28,15.9129,79.74
Andhra Pradesh,13022060.0,127677357,253000.0,2020,1st Quarter,28,15.9129,79.74
Andhra Pradesh,14319675.0,144917855,303000.0,2020,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,15692405.0,204902935,467000.0,2020,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,17076565.0,286118552,655000.0,2020,4th Quarter,28,15.9129,79.74
Andhra Pradesh,18363733.0,289747970,672000.0,2021,1st Quarter,28,15.9129,79.74
Andhra Pradesh,19620905.0,352767134,851000.0,2021,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,21059898.0,432032550,984000.0,2021,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,22489029.0,522254003,1160000.0,2021,4th Quarter,28,15.9129,79.74
Andhra Pradesh,23857951.0,582603911,1290000.0,2022,1st Quarter,28,15.9129,79.74
Andhra Pradesh,25157264.0,671134030,1480000.0,2022,2nd Quarter,28,15.9129,79.74
Andhra Pradesh,26496330.0,642855035,1390000.0,2022,3rd Quarter,28,15.9129,79.74
Andhra Pradesh,27778016.0,690017077,1420000.0,2022,4th Quarter,28,15.9129,79.74
Arunachal Pradesh,21495.0,45497,92.39,2018,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,32883.0,82157,198.97,2018,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,45922.0,131146,331.73,2018,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,61852.0,176429,504.04,2018,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,76957.0,226506,609.95,2019,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,95885.0,258656,752.66,2019,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,112149.0,370234,912.65,2019,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,129321.0,459475,1190.57,2019,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,149066.0,567175,1381.76,2020,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,177534.0,808774,1826.72,2020,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,206046.0,962827,2609.94,2020,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,231292.0,1209129,3570.26,2020,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,251240.0,1177456,3813.78,2021,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,270572.0,1568338,4456.43,2021,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,293073.0,1906967,5678.12,2021,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,314944.0,2390598,6943.51,2021,4th Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,335339.0,2804068,7828.09,2022,1st Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,354528.0,3556925,9131.67,2022,2nd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,373372.0,3939418,9025.11,2022,3rd Quarter,12,27.10039878,93.61660071
Arunachal Pradesh,390307.0,4632709,9684.91,2022,4th Quarter,12,27.10039878,93.61660071
Assam,385237.0,1056881,1157.8,2018,1st Quarter,18,26.7499809,94.21666744
Assam,571046.0,1663873,2350.59,2018,2nd Quarter,18,26.7499809,94.21666744
Assam,784802.0,2351851,3811.13,2018,3rd Quarter,18,26.7499809,94.21666744
Assam,1039221.0,3734172,5888.02,2018,4th Quarter,18,26.7499809,94.21666744
Assam,1259085.0,4533005,8002.1,2019,1st Quarter,18,26.7499809,94.21666744
Assam,1500128.0,5454929,10954.97,2019,2nd Quarter,18,26.7499809,94.21666744
Assam,1731523.0,5942571,12950.44,2019,3rd Quarter,18,26.7499809,94.21666744
Assam,1941220.0,6760510,15281.98,2019,4th Quarter,18,26.7499809,94.21666744
Assam,2185938.0,8808860,20668.43,2020,1st Quarter,18,26.7499809,94.21666744
Assam,2550883.0,10505199,19766.3,2020,2nd Quarter,18,26.7499809,94.21666744
Assam,2830011.0,12397711,29831.39,2020,3rd Quarter,18,26.7499809,94.21666744
Assam,3106153.0,15423454,40226.61,2020,4th Quarter,18,26.7499809,94.21666744
Assam,3358448.0,19512060,51326.46,2021,1st Quarter,18,26.7499809,94.21666744
Assam,3617056.0,25432905,59192.47,2021,2nd Quarter,18,26.7499809,94.21666744
Assam,3918480.0,33504441,75700.5,2021,3rd Quarter,18,26.7499809,94.21666744
Assam,4209591.0,46020361,104000.0,2021,4th Quarter,18,26.7499809,94.21666744
Assam,4492589.0,58889886,132000.0,2022,1st Quarter,18,26.7499809,94.21666744
Assam,4755787.0,76334725,153000.0,2022,2nd Quarter,18,26.7499809,94.21666744
Assam,5016910.0,86113811,161000.0,2022,3rd Quarter,18,26.7499809,94.21666744
Assam,5247776.0,103981267,193000.0,2022,4th Quarter,18,26.7499809,94.21666744
Bihar,2133804.0,5824302,6045.76,2018,1st Quarter,10,25.78541445,87.4799727
Bihar,3005872.0,8632378,13506.13,2018,2nd Quarter,10,25.78541445,87.4799727
Bihar,3784535.0,14367804,20135.8,2018,3rd Quarter,10,25.78541445,87.4799727
Bihar,4776665.0,15732401,28398.0,2018,4th Quarter,10,25.78541445,87.4799727
Bihar,5745117.0,26356234,41502.83,2019,1st Quarter,10,25.78541445,87.4799727
Bihar,6589759.0,29960479,63132.44,2019,2nd Quarter,10,25.78541445,87.4799727
Bihar,7380265.0,32139900,67692.78,2019,3rd Quarter,10,25.78541445,87.4799727
Bihar,8342274.0,43530314,93313.43,2019,4th Quarter,10,25.78541445,87.4799727
Bihar,9351234.0,45081815,109000.0,2020,1st Quarter,10,25.78541445,87.4799727
Bihar,10603767.0,53386742,129000.0,2020,2nd Quarter,10,25.78541445,87.4799727
Bihar,11763213.0,71503748,173000.0,2020,3rd Quarter,10,25.78541445,87.4799727
Bihar,12889833.0,96591673,239000.0,2020,4th Quarter,10,25.78541445,87.4799727
Bihar,13946288.0,114932477,281000.0,2021,1st Quarter,10,25.78541445,87.4799727
Bihar,14972134.0,155603622,375000.0,2021,2nd Quarter,10,25.78541445,87.4799727
Bihar,16160771.0,187671113,397000.0,2021,3rd Quarter,10,25.78541445,87.4799727
Bihar,17335981.0,245126945,519000.0,2021,4th Quarter,10,25.78541445,87.4799727
Bihar,18484658.0,284390434,611000.0,2022,1st Quarter,10,25.78541445,87.4799727
Bihar,19569894.0,360145029,754000.0,2022,2nd Quarter,10,25.78541445,87.4799727
Bihar,20694376.0,437367385,791000.0,2022,3rd Quarter,10,25.78541445,87.4799727
Bihar,21738117.0,517084649,936000.0,2022,4th Quarter,10,25.78541445,87.4799727
Chandigarh,86268.0,381895,613.44,2018,1st Quarter,4,30.71999697,76.78000565
Chandigarh,115219.0,479084,961.22,2018,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,143893.0,616936,1369.35,2018,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,177747.0,905116,2032.59,2018,4th Quarter,4,30.71999697,76.78000565
Chandigarh,209175.0,1274476,2396.03,2019,1st Quarter,4,30.71999697,76.78000565
Chandigarh,240439.0,1252470,2693.12,2019,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,267337.0,1506543,3269.68,2019,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,289590.0,1850915,4152.51,2019,4th Quarter,4,30.71999697,76.78000565
Chandigarh,312887.0,2262511,5126.45,2020,1st Quarter,4,30.71999697,76.78000565
Chandigarh,336351.0,1528010,3847.02,2020,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,362588.0,2158086,5089.81,2020,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,391402.0,2912716,6146.76,2020,4th Quarter,4,30.71999697,76.78000565
Chandigarh,419998.0,3970237,7596.42,2021,1st Quarter,4,30.71999697,76.78000565
Chandigarh,448572.0,4417547,8417.67,2021,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,480463.0,6649378,11815.88,2021,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,512092.0,7898903,14373.58,2021,4th Quarter,4,30.71999697,76.78000565
Chandigarh,541549.0,8600491,15174.99,2022,1st Quarter,4,30.71999697,76.78000565
Chandigarh,569582.0,10772489,17283.5,2022,2nd Quarter,4,30.71999697,76.78000565
Chandigarh,598698.0,13478173,20559.76,2022,3rd Quarter,4,30.71999697,76.78000565
Chandigarh,627563.0,17904840,27879.75,2022,4th Quarter,4,30.71999697,76.78000565
Chhattisgarh,679263.0,1891514,2149.16,2018,1st Quarter,22,22.09042035,82.15998734
