Districts,Transaction_count,Amount in Millions,Year,Quarters
Hyderabad,1133829812,1753799.02,2022,4th quarter
Hyderabad,1018658174,1586047.44,2022,3rd quarter
Bengaluru Urban,876647100,1092079.3,2022,4th quarter
Bengaluru Urban,786978117,1013933.81,2022,2nd quarter
Bengaluru Urban,738035161,930886.46,2022,3rd quarter
Bengaluru Urban,648380838,837938.77,2022,1st quarter
Hyderabad,446470234,775908.69,2022,2nd quarter
Bengaluru Urban,584958847,755926.04,2021,4th quarter
Hyderabad,372711414,661512.5,2022,1st quarter
Jaipur,404922774,635458.55,2022,4th quarter
Bengaluru Urban,476485560,626123.2,2021,3rd quarter
Pune,520321567,620747.09,2022,2nd quarter
Pune,544687754,590334.49,2022,4th quarter
Hyderabad,325636475,582079.17,2021,4th quarter
Jaipur,377469909,564818.22,2022,3rd quarter
Pune,505018506,549531.79,2022,3rd quarter
Pune,424149132,508475.1,2022,1st quarter
Jaipur,314511010,497492.5,2022,2nd quarter
Hyderabad,262028284,479343.32,2021,3rd quarter
Pune,371337618,454584.74,2021,4th quarter
Bengaluru Urban,326804307,444422.4,2021,2nd quarter
Jaipur,262950613,434507.9,2022,1st quarter
Bengaluru Urban,348712787,432401.34,2021,1st quarter
Hyderabad,212326623,424872.74,2021,2nd quarter
Jaipur,231804892,394435.78,2021,4th quarter
Central Delhi,280960656,386107.88,2022,4th quarter
Pune,303322956,372243.66,2021,3rd quarter
Bengaluru Urban,267720411,352536.74,2020,4th quarter
Patna,217434851,352393.76,2022,4th quarter
Chhindwara,245710341,350638.06,2022,4th quarter
Central Delhi,243139962,327191.97,2022,3rd quarter
Hyderabad,169703372,316572.39,2021,1st quarter
Jaipur,193839196,313664.44,2021,3rd quarter
Mumbai Suburban,248827345,310278.22,2022,4th quarter
Patna,188665398,298860.41,2022,3rd quarter
Pune,218732925,298657.5,2021,2nd quarter
Rangareddy,191136402,295773.66,2022,4th quarter
Rangareddy,169029273,272598.08,2022,3rd quarter
Khordha,208260666,268479.77,2022,4th quarter
Rangareddy,161888380,267052.52,2022,2nd quarter
Bengaluru Urban,188947684,261095.18,2020,3rd quarter
Bhopal,185588829,255910.4,2022,2nd quarter
Pune,208930588,253623.63,2021,1st quarter
Jaipur,137247139,248390.98,2021,2nd quarter
Mumbai Suburban,197724164,247678.98,2022,3rd quarter
Hyderabad,117008707,243045.18,2020,4th quarter
Chhindwara,169367916,236429.18,2022,3rd quarter
Khordha,182514532,234714.0,2022,3rd quarter
Central Delhi,159034619,232911.86,2022,2nd quarter
