Pincodes,Transaction_count,Amount in Millions,Year,Quarters
500034,967508435,1501499.86,2022,4th quarter
500034,832279716,1276247.18,2022,3rd quarter
500001,296874552,536659.04,2022,2nd quarter
500001,248675599,460948.76,2022,1st quarter
302012,255709582,401447.08,2022,4th quarter
500001,213053128,398798.14,2021,4th quarter
560027,290033166,383980.42,2022,4th quarter
560001,271515853,367011.5,2022,2nd quarter
411004,262731186,356437.0,2022,2nd quarter
110006,258183697,349487.19,2022,4th quarter
480001,240053791,341860.97,2022,4th quarter
500001,173430239,335290.2,2021,3rd quarter
302012,220682742,322546.63,2022,3rd quarter
500001,148864777,315432.05,2021,2nd quarter
560001,224793308,308663.37,2022,1st quarter
411033,263248580,298971.29,2022,4th quarter
110006,222465526,294132.83,2022,3rd quarter
302016,181570316,290408.79,2022,2nd quarter
411004,209101358,285005.83,2022,1st quarter
560001,206723470,283864.05,2021,4th quarter
800001,167166031,269652.53,2022,4th quarter
411004,185423020,259406.18,2021,4th quarter
302016,148956604,248958.96,2022,1st quarter
411033,217102802,241609.85,2022,3rd quarter
560001,171396431,241306.34,2021,3rd quarter
480001,164538285,229267.14,2022,3rd quarter
800001,143978604,226644.91,2022,3rd quarter
400070,180508440,226320.22,2022,4th quarter
302016,130544931,225546.21,2021,4th quarter
700039,119193886,219834.11,2022,4th quarter
500001,107274281,218270.13,2021,1st quarter
560027,160449902,217879.67,2022,3rd quarter
411004,155523883,217400.69,2021,3rd quarter
110006,139136098,200269.82,2022,2nd quarter
462008,137837715,198147.34,2022,2nd quarter
411004,120795663,186134.32,2021,2nd quarter
751001,140210762,184650.66,2022,4th quarter
560001,123224371,183498.28,2021,2nd quarter
302016,108659324,179936.12,2021,3rd quarter
500001,70732132,177532.01,2020,3rd quarter
462008,119378084,172143.37,2022,1st quarter
110006,112708284,170854.55,2022,1st quarter
400070,137051260,170363.15,2022,3rd quarter
444510,93575752,168031.36,2022,2nd quarter
800001,90260337,162195.04,2022,2nd quarter
751001,123281915,161654.6,2022,3rd quarter
560001,111898471,154275.13,2021,1st quarter
500001,63797806,154104.66,2020,4th quarter
700039,82900479,153815.76,2022,3rd quarter
302016,81782827,152295.12,2021,2nd quarter
110006,96850347,152021.12,2021,4th quarter
462008,97987017,145639.26,2021,4th quarter
411004,99287169,142692.1,2021,1st quarter
500001,63671159,139394.87,2020,1st quarter
444510,69862188,129741.28,2022,1st quarter
800001,68427326,126972.47,2022,1st quarter
302016,65639307,124138.64,2021,1st quarter
110006,77515502,117511.79,2021,3rd quarter
800001,61784983,113485.18,2021,4th quarter
462008,74987334,111259.18,2021,3rd quarter
600003,75241472,108938.95,2022,2nd quarter
444510,55162139,103212.7,2021,4th quarter
500001,39752686,101961.88,2020,2nd quarter
462008,57596018,101902.49,2021,2nd quarter
751001,69262961,101369.06,2022,2nd quarter
600003,62446149,95888.45,2022,1st quarter
560001,56516908,95602.8,2020,3rd quarter
411004,49082232,94100.77,2020,3rd quarter
560001,56310863,93518.05,2020,4th quarter
800001,42836603,91781.68,2021,2nd quarter
751001,58525215,91210.2,2022,1st quarter
800001,49086869,90644.8,2021,3rd quarter
110006,54888173,88849.31,2021,2nd quarter
444510,45378525,84950.92,2021,3rd quarter
411004,48628369,83733.59,2020,4th quarter
600003,54054310,83084.09,2021,4th quarter
560001,57330889,81134.89,2020,1st quarter
751001,52532360,79093.27,2021,4th quarter
302016,34723808,78104.75,2020,3rd quarter
110006,46104924,76683.9,2021,1st quarter
462008,45920869,76097.62,2021,1st quarter
302016,31028451,71599.28,2020,4th quarter
600003,42982007,71274.1,2021,3rd quarter
800001,30937663,68071.23,2021,1st quarter
500012,32637373,67244.23,2019,4th quarter
560001,48600127,67204.11,2019,4th quarter
560001,38973791,66590.27,2020,2nd quarter
751001,41875475,65849.22,2021,3rd quarter
411004,43278566,64894.94,2020,1st quarter
700009,30775525,59587.22,2021,2nd quarter
411004,27617700,58352.7,2020,2nd quarter
302016,24180734,56174.14,2020,1st quarter
500012,27360144,55516.91,2019,3rd quarter
600003,31694305,54282.02,2021,2nd quarter
110006,27731187,53768.48,2020,3rd quarter
302016,22032140,53610.68,2020,2nd quarter
751001,30961581,53565.78,2021,2nd quarter
411006,32779718,51360.24,2019,4th quarter
560001,34182229,49823.7,2019,3rd quarter
110006,24969702,48831.65,2020,4th quarter
600003,25512152,44939.87,2021,1st quarter
110011,22861243,44827.06,2019,4th quarter
462008,20637374,44520.94,2020,4th quarter
751001,24151383,44482.73,2021,1st quarter
462008,18608188,42836.93,2020,3rd quarter
500012,23303184,42709.92,2019,2nd quarter
411006,25995035,42031.28,2019,3rd quarter
302001,17153003,41220.74,2019,4th quarter
800001,14656027,41210.18,2020,3rd quarter
560001,27169035,40026.68,2019,2nd quarter
800001,14983099,39976.51,2020,4th quarter
400070,25090098,39416.19,2021,1st quarter
110011,20159577,36968.95,2019,3rd quarter
700009,14161961,35897.93,2020,3rd quarter
110006,19881142,34803.71,2020,1st quarter
411006,22544991,34073.35,2019,2nd quarter
302001,15037317,31903.77,2019,3rd quarter
110011,20001452,31366.33,2019,2nd quarter
800001,9603835,29875.81,2020,2nd quarter
600003,14352747,29310.36,2020,1st quarter
700009,11305243,28555.96,2020,4th quarter
110001,13167147,27716.43,2020,1st quarter
751001,11770940,27337.33,2020,3rd quarter
751001,11637193,26523.47,2020,4th quarter
800015,10441675,26228.17,2019,4th quarter
600003,11690163,26114.46,2020,4th quarter
302001,14130072,26047.08,2019,2nd quarter
110006,14401400,26006.45,2020,2nd quarter
751001,11782987,25543.18,2020,1st quarter
110001,11598940,25361.4,2020,3rd quarter
700009,13084249,24503.08,2020,1st quarter
751001,9411361,23813.15,2020,2nd quarter
560001,16241340,23597.36,2019,1st quarter
600003,8641869,22394.01,2020,2nd quarter
400008,10498727,22289.35,2019,4th quarter
800015,8554034,21451.66,2019,3rd quarter
600003,10008230,21375.92,2019,4th quarter
110001,9780539,21370.0,2020,2nd quarter
380001,8490730,21210.7,2020,2nd quarter
400070,10817537,21066.84,2020,1st quarter
751002,13743261,19669.45,2019,4th quarter
800015,9362673,19331.79,2019,2nd quarter
700009,16310685,18429.09,2019,4th quarter
226004,6687157,17110.38,2019,3rd quarter
226004,8966947,16438.62,2019,2nd quarter
751002,9990982,16300.3,2019,3rd quarter
