States,Transaction_count,Amount in Millions,Year,Quarters
Telangana,1819506832,2978252.56,2022,4th quarter
Telangana,1628165401,2706325.87,2022,3rd quarter
Maharashtra,1688775272,2210470.84,2022,4th quarter
Maharashtra,1407533113,2006272.38,2022,2nd quarter
Telangana,1063382557,1951414.54,2022,2nd quarter
Maharashtra,1486389417,1947579.19,2022,3rd quarter
Karnataka,1378910371,1904516.62,2022,4th quarter
Karnataka,1277448960,1867146.11,2022,2nd quarter
Maharashtra,1169506438,1681399.27,2022,1st quarter
Telangana,886453385,1670638.17,2022,1st quarter
Karnataka,1189761328,1665918.23,2022,3rd quarter
Karnataka,1057855407,1566649.49,2022,1st quarter
Andhra Pradesh,671134030,1479853.95,2022,2nd quarter
Maharashtra,1010731502,1475358.47,2021,4th quarter
Telangana,775989773,1463758.19,2021,4th quarter
Rajasthan,865574848,1456956.7,2022,4th quarter
Andhra Pradesh,690017077,1424725.08,2022,4th quarter
Andhra Pradesh,642855035,1385077.41,2022,3rd quarter
Uttar Pradesh,836369071,1376378.8,2022,4th quarter
Karnataka,931725438,1375471.32,2021,4th quarter
Madhya Pradesh,898828268,1302999.86,2022,4th quarter
Andhra Pradesh,582603911,1294320.65,2022,1st quarter
Rajasthan,767541360,1238489.26,2022,3rd quarter
Telangana,622886768,1178289.13,2021,3rd quarter
Maharashtra,792874060,1159257.31,2021,3rd quarter
Andhra Pradesh,522254003,1156264.45,2021,4th quarter
Rajasthan,661170150,1152833.52,2022,2nd quarter
Karnataka,753296539,1133234.74,2021,3rd quarter
Uttar Pradesh,703589072,1121370.05,2022,3rd quarter
Uttar Pradesh,595298776,1067515.18,2022,2nd quarter
Madhya Pradesh,731259559,1032908.49,2022,3rd quarter
Telangana,495867544,1027958.33,2021,2nd quarter
Rajasthan,564962220,1022050.18,2022,1st quarter
Andhra Pradesh,432032550,984218.04,2021,3rd quarter
Bihar,517084649,936012.15,2022,4th quarter
Maharashtra,573616486,915115.06,2021,2nd quarter
Rajasthan,487621597,903934.42,2021,4th quarter
Uttar Pradesh,473953246,883123.17,2022,1st quarter
Madhya Pradesh,544899829,867024.74,2022,2nd quarter
Andhra Pradesh,352767134,850737.5,2021,2nd quarter
Karnataka,530649046,837887.15,2021,2nd quarter
Telangana,412572110,799359.26,2021,1st quarter
Bihar,437367385,791446.49,2022,3rd quarter
Uttar Pradesh,406157932,773890.97,2021,4th quarter
Maharashtra,517860240,769887.35,2021,1st quarter
Karnataka,523797492,754995.36,2021,1st quarter
Bihar,360145029,754461.45,2022,2nd quarter
Madhya Pradesh,472703058,747665.14,2022,1st quarter
Delhi,515203457,744915.02,2022,4th quarter
Rajasthan,400284753,710511.33,2021,3rd quarter
Telangana,343643787,696350.44,2020,4th quarter
Delhi,475592161,677612.65,2022,3rd quarter
Andhra Pradesh,289747970,672444.67,2021,1st quarter
Karnataka,431536984,658036.7,2020,4th quarter
Madhya Pradesh,404308084,656887.49,2021,4th quarter
Andhra Pradesh,286118552,654841.55,2020,4th quarter
Odisha,445714743,652217.06,2022,4th quarter
Tamil Nadu,393496175,631879.22,2022,3rd quarter
Delhi,410634184,629855.65,2022,2nd quarter
Maharashtra,407621004,622155.53,2020,4th quarter
Bihar,284390434,611411.7,2022,1st quarter
Tamil Nadu,354506937,590134.73,2022,2nd quarter
Rajasthan,287477039,561702.77,2021,2nd quarter
Uttar Pradesh,306543384,557080.84,2021,3rd quarter
Delhi,330999861,536964.92,2022,1st quarter
Bihar,245126945,519371.61,2021,4th quarter
Tamil Nadu,294573150,512789.2,2022,1st quarter
Telangana,236372126,505961.14,2020,3rd quarter
Madhya Pradesh,311443334,504412.6,2021,3rd quarter
Rajasthan,252730919,491492.58,2021,1st quarter
Delhi,292683359,488695.31,2021,4th quarter
Uttar Pradesh,241949131,482172.49,2021,2nd quarter
Karnataka,300360531,470740.52,2020,3rd quarter
Andhra Pradesh,204902935,467084.13,2020,3rd quarter
Tamil Nadu,259155976,443723.95,2021,4th quarter
Maharashtra,268310924,440307.08,2020,3rd quarter
Madhya Pradesh,223314680,425500.77,2021,2nd quarter
Bihar,187671113,397062.76,2021,3rd quarter
Uttar Pradesh,204499547,396287.59,2021,1st quarter
Rajasthan,190283435,386034.78,2020,4th quarter
Delhi,238760608,383858.32,2021,3rd quarter
Bihar,155603622,374580.26,2021,2nd quarter
Telangana,199409525,371343.78,2020,1st quarter
Tamil Nadu,204357404,365207.32,2021,3rd quarter
Uttar Pradesh,178167517,357428.83,2020,4th quarter
