States,Payment_type,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Andaman & Nicobar,Recharge & bill payments,4200,1.85,2018,1st Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Peer-to-peer payments,1871,12.14,2018,1st Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Merchant payments,298,0.45,2018,1st Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Financial Services,33,0.01,2018,1st Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Others,256,0.18,2018,1st Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Recharge & bill payments,6735,2.32,2018,2nd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Peer-to-peer payments,3575,24.51,2018,2nd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Merchant payments,603,1.02,2018,2nd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Financial Services,59,0.12,2018,2nd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Others,368,0.36,2018,2nd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Recharge & bill payments,8636,4.34,2018,3rd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Peer-to-peer payments,6448,49.27,2018,3rd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Merchant payments,945,1.63,2018,3rd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Financial Services,42,0.0,2018,3rd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Others,194,0.31,2018,3rd Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Recharge & bill payments,11517,5.45,2018,4th Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Peer-to-peer payments,10451,81.0,2018,4th Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Merchant payments,1421,3.55,2018,4th Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Financial Services,29,0.08,2018,4th Quarter,35.0,11.66702557,92.73598262
Andaman & Nicobar,Others,340,0.47,2018,4th Quarter,35.0,11.66702557,92.73598262
Andhra Pradesh,Recharge & bill payments,5027448,892.29,2018,1st Quarter,28.0,15.9129,79.74
Andhra Pradesh,Peer-to-peer payments,3049646,10524.25,2018,1st Quarter,28.0,15.9129,79.74
Andhra Pradesh,Merchant payments,362672,247.3,2018,1st Quarter,28.0,15.9129,79.74
Andhra Pradesh,Financial Services,204305,44.81,2018,1st Quarter,28.0,15.9129,79.74
Andhra Pradesh,Others,395514,287.63,2018,1st Quarter,28.0,15.9129,79.74
Andhra Pradesh,Recharge & bill payments,6456387,1598.59,2018,2nd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Peer-to-peer payments,4745000,20451.49,2018,2nd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Merchant payments,604847,436.79,2018,2nd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Financial Services,225621,68.95,2018,2nd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Others,322063,328.09,2018,2nd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Peer-to-peer payments,16129591,32738.63,2018,3rd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Recharge & bill payments,7542005,1949.1,2018,3rd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Merchant payments,1225416,685.28,2018,3rd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Financial Services,380324,60.79,2018,3rd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Others,348725,284.25,2018,3rd Quarter,28.0,15.9129,79.74
Andhra Pradesh,Peer-to-peer payments,17580086,47011.64,2018,4th Quarter,28.0,15.9129,79.74
Andhra Pradesh,Recharge & bill payments,9767083,2418.16,2018,4th Quarter,28.0,15.9129,79.74
Andhra Pradesh,Merchant payments,2622131,1671.59,2018,4th Quarter,28.0,15.9129,79.74
Andhra Pradesh,Financial Services,400837,57.18,2018,4th Quarter,28.0,15.9129,79.74
